removal,coef_var,Layer,Date,n,Sensors
1,0.04613722245935744,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.9642857142857143,0.04877169782443929,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.9285714285714286,0.048315450453356404,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.8928571428571429,0.04741772217933045,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.8571428571428572,0.050837394436763335,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.8214285714285714,0.05024445942962902,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.7857142857142857,0.051355743581071596,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.75,0.054511459864298034,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.7142857142857143,0.05406399737759557,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
0.6785714285714286,0.055450268444671075,10cm,2014-05-23,28,"10cm_1,10cm_2,10cm_3,10cm_4,10cm_5,10cm_6,10cm_7,10cm_8,10cm_9,10cm_10,10cm_11,10cm_12,10cm_13,10cm_14,10cm_15,10cm_16,10cm_17,10cm_18,10cm_19,10cm_20,10cm_22,10cm_23,10cm_24,10cm_25,10cm_26,10cm_27,10cm_29,10cm_30"
